ID,Titolo,Generi,Temi,Punteggio Medio,Rank,Popolarità,Stato,Autori
138407,"Natsu e no Tunnel, Sayonara no Deguchi: Gunjou","Drama, Mystery, Sci-Fi",,8.09,611,4988,finished," Koudon, Mei Hachimoku"
148467,Super no Ura de Yani Suu Futari,"Adult Cast, Love Status Quo, Romance",,8.09,612,372,currently_publishing, Jinushi
27,X,"Action, Drama, Fantasy, Psychological, Shoujo, Super Power, Supernatural",,8.09,615,702,on_hiatus, CLAMP
564,Gantz,"Action, Drama, Gore, Horror, Psychological, Sci-Fi, Seinen, Supernatural, Survival",,8.09,615,30,finished,Hiroya Oku
674,Majin Tantei Nougami Neuro,"Detective, Mystery, Shounen, Supernatural",,8.09,617,948,finished,Yuusei Matsui
872,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Action, Adventure, Shounen, Supernatural",,8.09,618,144,finished,Hirohiko Araki
928,Pocket Monsters Special,"Action, Adventure, Kids",,8.09,619,327,currently_publishing,"Hidenori Kusaka, Satoshi Yamamoto,  Mato"
1149,Hokuto no Ken,"Action, Drama, Martial Arts, Sci-Fi, Shounen",,8.09,620,376,finished,"Tetsuo Hara,  Buronson"
1257,Higurashi no Naku Koro ni: Onikakushi-hen,"Drama, Horror, Mystery, Psychological",,8.09,620,706,finished,"Karin Suzuragi,  Ryukishi07"
7749,Oresama Teacher,"Comedy, Delinquents, School, Shoujo",,8.09,622,472,finished,Izumi Tsubaki
10447,Getter Robo Go,"Action, Mecha, Sci-Fi, Shounen",,8.09,622,5592,finished,Ken Ishikawa
95964,Kekkai Sensen: Back 2 Back,"Action, Fantasy, Shounen, Super Power, Urban Fantasy, Vampire",,8.08,644,4329,finished,Yasuhiro Nightow
108187,Karakai Jouzu no (Moto) Takagi-san,"Comedy, Iyashikei, Romance, Slice of Life",,8.08,628,387,finished,Mifumi Inaba
108696,Runway de Waratte,"Drama, Shounen, Showbiz, Visual Arts",,8.08,629,1144,finished,Kotoba Inoya
139104,"Hikaeme ni Ittemo, Kore wa Ai","Romance, Shoujo",,8.08,630,1552,currently_publishing,Momo Fuji
